Date,S&P500,Industrials,Health Care,Information Technology,Consumer Discretionary,Utilities,Financials,Materials,Real Estate,Consumer Staples,Energy,Telecommunication Services
2000-09-30,29.313127170780863,17.292829010576916,23.158262095283014,36.075520792,19.2911823112069,15.757290169230764,62.57251867156864,14.7145974825,23.169225484482755,15.279469282142855,14.255020320000002,299.0548813375
2000-10-31,26.9959825703982,17.10691391870629,23.476155548885078,31.06622308727273,16.13973690104434,15.718786835664336,61.74256433689842,13.690354749783554,18.498227061128524,16.03094070941558,13.852318709090907,229.41111973863636
2000-11-30,26.094154988662122,18.591821706043955,23.959224028751123,27.286984488571434,16.034805986279256,16.01803775274725,61.96384276657326,14.611994426303857,18.142566528735635,17.518040236394555,13.396967636190475,146.72667660714285
2000-12-31,25.625608014505378,18.619550424528303,24.485509988679244,24.168662959,15.340894371111107,16.295786867307694,62.59834331372548,15.321498911904763,16.781736353448274,17.727566767857144,13.805259592000002,139.4964421125
2001-01-31,25.676217434656763,18.845147740341417,22.923664551146388,23.839903961251167,16.90607400952381,14.853684487179486,60.6414674136321,15.724777727891158,17.024520711001642,17.49074319727891,14.097037834285713,173.59663613095236
2001-02-28,25.044158500979464,19.35986199106256,22.791596805068227,21.32194884210526,17.18253995877193,15.733577443319838,59.54584843034054,16.086958586466167,16.792863836660615,18.07626469736842,14.415545621052631,135.38433409210526
2001-03-31,22.48462951477553,18.491532773584908,20.11742801010101,17.750447426916214,16.16786572424242,15.578701127622377,54.214841480392174,16.318012149350647,13.642055097178686,17.302359133116884,14.444639721818183,85.27649879545454
2001-04-30,22.247679005459077,18.874189307547173,19.5969315712963,17.819536606862748,16.48439900416666,16.129812265384608,54.42110560294119,16.28548564047619,12.543166343103449,16.82864406607143,14.418537099999998,63.6426263875
2001-05-31,24.004117598127696,20.72099254545455,21.34227318013468,20.28093754278075,18.3181505840909,16.414587064685314,57.962024878787894,17.49985725108225,13.289873012539184,17.049391485389606,15.053683585454543,67.99407062499999
2001-06-30,23.46845533667322,20.26647467604618,22.348473621693124,18.96492716573756,18.450789929365083,16.033280335164836,57.43861547756413,17.387917378684808,13.251252819376026,16.869350462296325,13.71395405411255,41.27208609523811
2001-07-31,22.949489848978494,19.61469672134038,21.63101806164502,18.457853348618457,18.794332300000008,15.604687727106223,56.91842116758241,16.887849156462583,13.334681272577997,16.810665625615762,12.301052635531136,31.07265061904762
2001-08-31,22.604525084417645,19.41903711916265,21.616524052964422,18.31072650805152,18.220623119565218,15.260790414715716,55.39635474665549,16.890869231884057,13.47042287556222,17.00068210194902,12.354337357859531,29.568182836956524
2001-09-30,20.11351001865368,17.228051317283946,20.14113604727273,14.747872475308634,14.907562180000001,14.608367594871794,49.67608398205127,15.485310301587303,12.212503673563216,16.610893434482758,11.124582664102563,27.9863533
2001-10-31,21.01191968477131,17.672209975845412,20.81249914091615,15.509723982286634,15.572031695652173,14.206062762541803,53.28747899273411,15.90376042443064,12.36855407946027,16.79484288905547,11.478099479933109,25.636548902173907
2001-11-30,22.111921072636303,18.755909545855374,21.180649935374145,17.526697436507934,17.269943251756448,14.208262053113552,54.90377604132974,16.900608560090706,12.996790464696222,17.38468543842364,11.328868445054944,33.939531809523814
2001-12-31,22.78294637342124,19.458271259090907,21.32792643567251,18.626895729629627,18.56923120819672,14.211034486538464,54.979885002469146,17.567545204761906,14.189232694827588,17.56446403103449,11.436715473076921,34.62474877500001
2002-01-31,22.7362996137947,19.56540184502164,20.85899620802005,18.397516294532625,18.794846638563623,14.60694605311355,54.717077955908294,17.561173802721086,14.902421453201972,17.74024449589491,11.358152899267399,30.127910285714286
2002-02-28,22.150631950902437,20.074318276555022,20.620719649122805,16.96413510818713,18.718927441760137,14.076640582995953,52.24124505165692,18.227308062656643,14.00596956805808,18.307584756805802,11.502576170040486,22.31895517105263
2002-03-31,23.400113156234994,21.735753146363642,21.17340439473684,18.07534874444444,19.96549999590164,14.870969732692307,54.800960102777786,19.316112049999997,14.243698232758621,18.80538387068966,12.944527265384618,27.780094775000002
2002-04-30,23.07288240985393,21.442181145454544,20.933303666666674,16.785892569023567,19.822120806259317,15.295648963286716,53.812592675084176,19.392190774891777,14.200197948275864,19.157331007836994,13.106882711538463,27.862965022727277
2002-05-31,22.470827126794248,21.282370199173553,20.17391174641148,15.28376010661157,19.94194292697467,15.037347515734265,51.81673059932661,19.699087389610384,13.810220742946703,19.184970282131665,12.98943147552448,28.95752348863636
2002-06-30,21.35527771818181,20.46586229727273,19.0869744122807,13.826098872727266,18.766642502459018,14.021559451923075,49.33935486851851,19.117585185714287,13.942250987931036,18.923089894827587,12.234892496153845,26.1745999125
2002-07-31,19.097385780104133,18.470722151239674,16.742397786283895,12.075745448760335,16.143940269001497,12.140890395104893,43.94063702975205,17.318360199134197,13.229860915360499,17.184398061128523,11.022225281468534,29.118398272727276
2002-08-31,19.2456640490345,18.046975838016525,17.704013101275923,11.527930138016528,15.659908922503732,12.580557697552447,44.93325412314051,17.354626424242426,13.188060501567401,17.733149512539185,11.010222736013985,31.38922131818182
2002-09-30,18.509813866785727,17.419217584545457,17.591638540350875,10.688573417272726,15.652859868032788,11.80639494423077,42.198598453636365,16.841302097619046,13.05168685517241,17.546635637931036,11.14229736851852,24.892390349999996
2002-10-31,18.235826895073853,16.868376166007902,17.783846311975587,10.439509094071143,14.929584245441797,11.180651102006689,42.50018089723319,16.087871821946166,12.197677433283358,17.37537811544228,11.183380014492752,27.51597823913044
2002-11-30,19.326767920902622,17.757308537272724,18.175649347368424,12.401760819090908,15.889503447580648,11.91384631923077,45.440141059090905,16.677133597619044,12.799434677586204,17.374676168965514,11.170909351851849,30.064479600000006
2002-12-31,19.041865306269074,17.8380108995671,17.760758169590645,12.047867684523807,15.613587046851006,12.355867155677657,43.3092651272009,17.286439283446708,12.969818888341546,17.048055351395732,11.759563615520278,30.102972654761906
2003-01-31,18.90893636417878,17.685353637229436,17.802927301587303,11.917116206632656,15.115744666666663,12.729943122710624,43.147667168367335,17.298562394557823,12.85710886863711,17.00269710673235,11.475872530864196,29.906344785714282
2003-02-28,17.558768703247477,16.43933596267943,17.05045858448753,11.235131449248119,14.069405087436335,11.753864738866396,38.1821273524436,16.18742181453634,12.787049239564428,16.114814132486384,11.534177421052632,28.9602442368421
2003-03-31,17.714913158842737,16.177519935064936,17.517200483709274,11.602253443027214,14.381774749615978,11.977987800366302,38.26312641921769,15.949161040816323,13.171021793103447,15.969220500821018,11.741941597883597,27.919902892857145
2003-04-30,18.802142575593837,16.98994134632035,17.87413011194654,12.127730191326531,15.753720792626732,12.588234891941394,41.73638039030613,16.45648796371882,13.88283230706076,16.753535622331693,11.789022664902998,31.46912644047619
2003-05-31,20.034072172239114,18.00276158268398,19.13733449874687,13.375071329931972,17.062488962365588,13.473700659340658,44.1036523435374,17.079128015873017,14.623502522167488,17.421835114942525,12.394800294532628,35.3607858452381
2003-06-30,21.33668061341892,19.053069719480515,20.676722451127823,14.364356447278912,18.25994325576037,14.584466996336998,47.101196664965975,17.78574739909297,15.134873413793109,18.154565958949103,13.13043108112875,37.28271935714285
2003-07-31,21.68258565721041,19.539757900826444,21.11074691866029,14.948286128246751,18.795450204545453,14.014099430069932,48.21673420941561,17.903352712121215,15.912088547021948,18.01574044984326,12.481108851851852,31.60195352272727
2003-08-31,21.956666245637727,20.391982248484847,20.74800209690894,15.37215693367347,19.745350662826425,13.768219774725278,48.1099880484694,18.857444018140583,16.31531107389163,17.799532545155998,12.74629007936508,28.34038265476191
2003-09-30,22.59492622785095,20.730235494372295,21.45908277944862,16.659170891156457,20.45778362288787,14.420646932234435,48.51020496173469,19.23437048979592,16.956589937602626,18.376216285714285,12.964522188712522,29.89787663095239
2003-10-31,23.205108650481943,21.149611188142295,21.56777084973303,17.385563481366457,20.866019123188405,14.743421591973243,50.34131542934784,19.646502322981366,17.573128923538235,18.944350842578714,13.234936732689212,30.75478942391304
2003-11-30,23.554791028674256,21.975636202870817,22.122640745152356,18.018027302631577,21.05488895071012,14.749467576923077,50.111293069548864,20.142979531328322,18.080227749546285,19.336510352087117,13.291048424951267,30.458966657894738
2003-12-31,24.293147273959796,22.921374719008266,23.0106163277512,18.134887192370126,21.016394916305916,15.120086117043448,51.97635027191559,21.651467974025977,18.868405603448274,19.65466459247649,14.597720033670033,31.07351106818182
